PLAYER,POS,TEAM,GP,MPG,FGM,FG%,FTM,FT%,3PM,3P%,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,DD,A/TO
Svi Mykhailiuk,"SG,SF",TOR,56,12.8,1.6,0.390(1.6/4.2),0.6,0.864(0.6/0.7),0.7,0.305(0.7/2.4),4.6,1.3,0.4,1.6,0.8,0.4,0.1,0.6,0,1.4
Gabriel Deck,SF,OKL,7,8.1,1.1,0.570(1.1/2.0),0.3,1.000(0.3/0.3),0.3,0.509(0.3/0.6),2.9,0.7,0.1,0.9,0.7,0.1,0,0.3,0,2.5
Thanasis Antetokounmpo,SF,MIL,48,9.9,1.5,0.547(1.5/2.7),0.6,0.625(0.6/1.0),0,0.138(0.0/0.3),3.6,1.3,0.8,2.1,0.5,0.3,0.3,0.5,0,0.8
Tyler Cook,"PF,C",CHI,20,10,1.2,0.605(1.2/1.9),1.1,0.656(1.1/1.6),0,0.000(0.0/0.0),3.4,1.9,0.8,2.7,0.2,0.2,0.2,0.4,0,0.4
Kira Lewis?,PG,NOP,24,14.4,2.5,0.405(2.5/6.1),0.4,0.840(0.4/0.5),0.5,0.223(0.5/2.4),5.9,1.3,0.4,1.6,2,0.5,0,1.1,0,1.9
Nick Richards?,C,CHA,50,7.4,1.2,0.667(1.2/1.8),0.6,0.698(0.6/0.9),0,0.000(0.0/0.0),3,1,0.7,1.7,0.3,0.2,0.4,0.5,0,0.5
Bruno Fernando,C,HOU,30,5.1,1.2,0.656(1.2/1.8),0.5,0.625(0.5/0.8),0,0.429(0.0/0.1),2.9,1.2,0.6,1.8,0.2,0,0.4,0.5,0.1,0.5
Jared Butler,SG,UTA,42,8.7,1.5,0.403(1.5/3.6),0.3,0.684(0.3/0.4),0.7,0.319(0.7/2.1),3.8,1,0.1,1.1,1.5,0.4,0.2,0.8,0,1.9
Tim Frazier,"PG,SG",,12,17.3,1.2,0.312(1.2/3.8),0.4,0.560(0.4/0.8),0.5,0.352(0.5/1.4),3.3,1.2,0.4,1.6,2.8,0.3,0.1,1.3,0,2.3
Admiral Schofield,"SF,PF",ORL,38,12.4,1.4,0.419(1.4/3.4),0.3,0.821(0.3/0.4),0.7,0.327(0.7/2.1),3.8,1.9,0.4,2.3,0.7,0.1,0.1,0.6,0,1.2
Tremont Waters,PG,WAS,3,16.8,1.3,0.285(1.3/4.7),0,0.000(0.0/0.0),0.7,0.223(0.7/3.0),3.3,1.3,0,1.3,2.3,1.7,0,1.3,0,1.8
Willie Cauley-Stein,"PF,C",PHI,20,9.3,0.8,0.457(0.8/1.8),0.1,0.500(0.1/0.1),0.1,0.500(0.1/0.1),1.7,1.4,0.7,2,0.5,0.3,0.2,0.4,0,1.4
Trey Burke,PG,DAL,42,10.6,2,0.391(2.0/5.1),0.5,0.873(0.5/0.6),0.6,0.318(0.6/2.0),5.1,0.7,0.1,0.8,1.4,0.3,0,0.6,0,2.2
Santi Aldama,"PF,C",MEM,32,11.3,1.7,0.402(1.7/4.1),0.6,0.630(0.6/1.0),0.2,0.127(0.2/1.5),4.1,1.7,1,2.7,0.7,0.2,0.3,0.5,0.1,1.3
Semi Ojeleye,"SF,PF",LAC,30,13.6,1,0.303(1.0/3.3),0.8,0.794(0.8/1.0),0.5,0.299(0.5/1.7),3.3,1.6,0.9,2.5,0.3,0.2,0.2,0.3,0,1.1
Emmanuel Mudiay,PG,SAC,2,5.5,0,0.000(0.0/1.0),1.5,0.750(1.5/2.0),0,0.000(0.0/0.0),1.5,0,0,0,2,0.5,0,0.5,0,4
Dylan Windler,SF,CLE,50,9.2,0.7,0.378(0.7/2.0),0.3,0.833(0.3/0.4),0.4,0.300(0.4/1.4),2.2,1.4,0.4,1.8,0.7,0.3,0.1,0.3,0,2
Georgios Kalaitzakis,SF,MIL,13,16.5,2.4,0.462(2.4/5.2),1.1,0.468(1.1/2.3),0.8,0.385(0.8/2.0),6.6,1.2,0.5,1.6,0.9,0.8,0.2,1.5,0,0.6
Carsen Edwards,PG,MEM,4,19.8,2.3,0.300(2.3/7.5),0.3,1.000(0.3/0.3),1,0.250(1.0/4.0),5.8,1,0.5,1.5,3.5,0.5,0,1.3,0,2.8
Jeff Dowtin,PG,MIL,9,12,0.9,0.308(0.9/2.9),0.2,1.000(0.2/0.2),0.1,0.110(0.1/1.0),2.1,1.1,0.9,2,1.1,0.6,0.1,0.6,0,2
Isaiah Joe,SG,PHI,55,11.2,1.1,0.351(1.1/3.2),0.5,0.946(0.5/0.6),0.8,0.335(0.8/2.5),3.6,0.9,0.1,1,0.6,0.3,0.1,0.3,0,1.8
Paul Watson,"SF,PF",OKL,9,17.5,1.3,0.342(1.3/3.9),0.1,0.500(0.1/0.2),0.7,0.232(0.7/2.9),3.4,2.7,0.3,3,0.9,0.3,0.3,0.4,0,2
Denzel Valentine,"SG,SF",UTA,24,9.3,1,0.378(1.0/2.8),0,0.000(0.0/0.0),0.8,0.403(0.8/2.0),2.9,1.4,0.4,1.8,0.5,0.3,0,0.5,0,0.9
Elfrid Payton,PG,PHX,50,11.1,1.3,0.383(1.3/3.5),0.2,0.375(0.2/0.6),0.1,0.222(0.1/0.4),3,1.3,0.4,1.8,2,0.5,0.1,0.9,0,2.1
Quinndary Weatherspoon,SG,GSW,11,6.7,1.1,0.571(1.1/1.9),0.5,1.000(0.5/0.5),0.1,0.200(0.1/0.5),2.7,1.1,0.2,1.3,0.5,0.1,0.1,0.3,0,1.7
Emanuel Terry,PF,PHX,3,6.1,0,0.000(0.0/1.7),0,0.000(0.0/0.0),0,0.000(0.0/0.0),0,2.3,2.3,4.7,0.7,0,0,1.3,0,0.5
Josh Okogie,"SG,SF",MIN,49,10.6,0.9,0.406(0.9/2.1),0.7,0.683(0.7/1.0),0.3,0.302(0.3/1.0),2.7,0.8,0.6,1.4,0.5,0.5,0.2,0.5,0,1.1
Kyle Guy,PG,MIA,19,9.8,1.4,0.401(1.4/3.4),0.4,0.667(0.4/0.6),0.7,0.351(0.7/2.1),3.9,0.7,0.2,0.9,0.9,0.4,0.1,0.7,0,1.3
Markus Howard,SG,DEN,31,5.7,1.3,0.390(1.3/3.2),0.7,0.878(0.7/0.7),0.9,0.398(0.9/2.3),4.1,0.3,0.1,0.4,0.2,0.3,0,0.2,0,1
Skylar Mays,"PG,SG",ATL,28,7.9,1.1,0.498(1.1/2.3),0.3,0.906(0.3/0.3),0.3,0.326(0.3/0.9),2.9,0.7,0.2,0.9,0.6,0.3,0,0.4,0,1.7
Joe Wieskamp,SG,SAS,29,7.1,0.7,0.358(0.7/1.9),0.2,0.533(0.2/0.5),0.5,0.324(0.5/1.5),2.1,0.3,0.1,0.5,0.3,0.1,0.1,0.1,0,4.5
Craig Sword,PG,WAS,3,6.3,1,0.752(1.0/1.3),0,0.000(0.0/0.0),0,0.000(0.0/0.3),2,0,0,0,0.3,1.3,0,0.3,0,1
Javonte Smart,PG,MIA,17,11.8,1.1,0.317(1.1/3.5),0.3,0.829(0.3/0.4),0.5,0.296(0.5/1.6),3,1.1,0.3,1.4,0.9,0.4,0.2,0.6,0,1.5
Bol Bol?,"PF,C",ORL,13,6.2,1.2,0.553(1.2/2.1),0.2,0.652(0.2/0.2),0.1,0.258(0.1/0.3),2.5,1.2,0.3,1.5,0.4,0.1,0.2,0.3,0,1.3
Jemerrio Jones,SG,LAL,2,7.4,1,0.667(1.0/1.5),0,0.000(0.0/0.0),0,0.000(0.0/0.0),2,0.5,1,1.5,0,0.5,0,0,0,0
Chris Chiozza,PG,GSW,34,11,0.7,0.302(0.7/2.4),0.1,0.667(0.1/0.1),0.5,0.321(0.5/1.6),2,0.8,0.3,1.1,1.9,0.4,0,0.9,0,2
Jaden Springer,SG,PHI,2,2.8,0.5,1.000(0.5/0.5),0,0.000(0.0/0.0),0,0.000(0.0/0.0),1,0.5,0.5,1,0,0,1,0.5,0,0
Abdel Nader,"SF,PF",PHX,14,10.6,0.9,0.344(0.9/2.5),0.4,0.606(0.4/0.7),0.3,0.290(0.3/1.0),2.4,1.6,0.3,1.9,0.5,0.6,0.3,0.8,0,0.6
Shaquille Harrison,"SG,SF",MEM,2,11.3,1,0.333(1.0/3.0),0,0.000(0.0/0.0),0,0.000(0.0/1.0),2,1.5,0.5,2,1.5,0.5,0.5,1,0,1.5
Alize Johnson,"SF,PF",NOP,23,7.4,0.7,0.435(0.7/1.7),0.3,0.577(0.3/0.5),0,0.000(0.0/0.2),1.8,1.4,1.2,2.7,0.4,0.2,0,0.5,0,0.8
JT Thor,PF,CHA,33,8,0.7,0.437(0.7/1.7),0.4,0.590(0.4/0.6),0.2,0.256(0.2/0.8),2,1,0.3,1.3,0.6,0.2,0.3,0.3,0,1.9
Lindell Wigginton,PG,MIL,19,10.5,1.4,0.427(1.4/3.2),1,0.543(1.0/1.8),0.5,0.343(0.5/1.4),4.2,1.2,0.2,1.3,1.2,0.3,0.1,0.6,0,1.9
Kevin Pangos,PG,CLE,24,7,0.6,0.328(0.6/1.9),0.1,0.765(0.1/0.2),0.3,0.231(0.3/1.1),1.6,0.4,0.1,0.5,1.3,0.1,0,0.3,0,4.3
Ed Davis,"PF,C",CLE,31,6.5,0.4,0.673(0.4/0.5),0.2,0.422(0.2/0.5),0,0.000(0.0/0.0),0.9,1.6,0.5,2.1,0.2,0.1,0.3,0.2,0,1.4
Moses Wright,PF,LAC,4,3.7,0.3,0.250(0.3/1.0),0.8,1.000(0.8/0.8),0,0.000(0.0/0.3),1.3,0.5,0.3,0.8,0.5,0,0.3,0,0,2
Norvel Pelle,C,UTA,3,6.3,1,0.599(1.0/1.7),0,0.000(0.0/0.0),0,0.000(0.0/0.0),2,1,1,2,0,0,0.3,0.7,0,0
Malik Fitts,SF,BOS,15,4.2,0.5,0.417(0.5/1.3),0,0.000(0.0/0.0),0.3,0.493(0.3/0.7),1.4,1,0.1,1.1,0.3,0,0,0.1,0,2.5
RJ Nembhard,SG,CLE,14,4.5,0.4,0.333(0.4/1.3),0.2,0.724(0.2/0.3),0,0.000(0.0/0.1),1.1,0.3,0.2,0.5,0.9,0.1,0,0.2,0,4
Ishmail Wainright,SG,PHX,45,8,0.9,0.394(0.9/2.3),0.2,0.593(0.2/0.3),0.4,0.321(0.4/1.3),2.4,0.6,0.6,1.2,0.3,0.4,0.1,0.3,0,1.2
Udonis Haslem,"PF,C",MIA,13,6.4,1.1,0.454(1.1/2.4),0.2,1.000(0.2/0.2),0.1,0.258(0.1/0.3),2.5,1.6,0.3,1.9,0.3,0.1,0.1,0.4,0,0.8
Daishen Nix,SG,HOU,24,10.9,1.1,0.405(1.1/2.8),0.7,0.536(0.7/1.3),0.3,0.269(0.3/1.1),3.2,1.1,0.3,1.4,1.7,0.6,0,1.1,0,1.5
Aaron Nesmith,"SG,SF",BOS,52,11.1,1.4,0.394(1.4/3.5),0.4,0.800(0.4/0.5),0.6,0.271(0.6/2.2),3.8,1.4,0.3,1.7,0.4,0.4,0.1,0.6,0,0.7
Tre Scott,SF,CLE,2,5.7,1.5,0.500(1.5/3.0),0,0.000(0.0/0.0),0,0.000(0.0/0.5),3,0.5,0.5,1,0,0.5,0.5,0,0,0
Haywood Highsmith,SG,MIA,19,8.6,0.8,0.347(0.8/2.4),0.1,0.423(0.1/0.3),0.5,0.320(0.5/1.5),2.3,0.8,0.5,1.4,0.3,0.1,0.2,0.2,0,2
Boban Marjanovic,C,DAL,22,5.9,1.9,0.601(1.9/3.2),0.6,0.590(0.6/1.0),0.1,0.278(0.1/0.2),4.5,1.4,0.4,1.8,0.1,0,0.1,0.7,0,0.2
Eugene Omoruyi,SG,DAL,4,4.7,0.5,0.400(0.5/1.3),0.5,0.500(0.5/1.0),0.3,0.500(0.3/0.5),1.8,1.3,0.5,1.8,0.5,0,0,0,0,2
Devon Dotson,"PG,SG",CHI,11,7.7,1,0.478(1.0/2.1),0.5,0.549(0.5/0.8),0.2,0.220(0.2/0.8),2.6,0.7,0.1,0.8,1.4,0.1,0,0.5,0,3
Elijah Hughes,SG,POR,36,12.1,1.3,0.328(1.3/4.0),0.2,0.760(0.2/0.3),0.7,0.261(0.7/2.6),3.5,1.4,0.2,1.6,0.6,0.4,0.2,0.5,0,1.3
Kevin Knox II,"SF,PF",ATL,30,7.5,1,0.364(1.0/2.8),0.5,0.726(0.5/0.7),0.5,0.278(0.5/1.8),3.1,1,0.5,1.5,0.3,0.1,0.1,0.2,0,1.4
Jarrett Culver,"PG,SG",MEM,37,9.2,1.4,0.378(1.4/3.7),0.4,0.467(0.4/0.9),0.3,0.252(0.3/1.3),3.5,0.9,0.4,1.3,0.9,0.5,0.1,0.5,0,1.7
Cassius Winston,PG,WAS,7,5.7,0.6,0.363(0.6/1.6),0.6,1.000(0.6/0.6),0.3,0.337(0.3/0.9),2,0.1,0,0.1,1,0,0,0.4,0,2.3
Leandro Bolmaro,SF,MIN,35,7,0.5,0.318(0.5/1.5),0.3,0.838(0.3/0.4),0.1,0.275(0.1/0.5),1.4,0.8,0.5,1.2,0.6,0.2,0,0.4,0,1.6
Alfonzo McKinnie,"SF,PF",CHI,17,12.1,1.4,0.393(1.4/3.6),0.1,0.255(0.1/0.5),0.5,0.333(0.5/1.6),3.5,1.2,0.8,1.9,0.3,0.1,0.2,0.4,0,0.7
Miye Oni,SG,NOP,16,3,0.1,0.232(0.1/0.6),0,0.000(0.0/0.1),0.1,0.120(0.1/0.5),0.3,0.4,0.1,0.4,0.3,0,0,0.1,0,5
Robert Woodard II,SG,SAS,12,3.5,0.2,0.128(0.2/1.3),0.2,1.000(0.2/0.2),0.1,0.242(0.1/0.3),0.6,0.5,0.4,0.9,0.3,0.1,0.1,0.1,0,3
McKinley Wright IV,PG,MIN,5,3.8,0.4,0.667(0.4/0.6),0,0.000(0.0/0.0),0.2,0.500(0.2/0.4),1,0,0,0,0.6,0,0,0.2,0,3
Justin Jackson,"SF,PF",PHX,7,5.2,0.7,0.332(0.7/2.1),0.3,1.000(0.3/0.3),0.4,0.333(0.4/1.3),2.1,0.9,0.1,1,0.3,0,0,0.1,0,2
Paris Bass,SF,PHX,2,3.7,1,0.333(1.0/3.0),1,1.000(1.0/1.0),0,0.000(0.0/1.0),3,1,1,2,0,0.5,0,1,0,0
Ryan Arcidiacono,PG,BOS,10,7.6,0.6,0.500(0.6/1.2),0,0.000(0.0/0.0),0.4,0.444(0.4/0.9),1.6,0.8,0,0.8,0.4,0.1,0,0.3,0,1.3
Isaac Bonga,"SF,PF",TOR,15,4.6,0.2,0.230(0.2/0.9),0.3,0.623(0.3/0.5),0.1,0.259(0.1/0.3),0.8,0.2,0.3,0.5,0.3,0.5,0.1,0.1,0,2
Keljin Blevins,PG,POR,31,11.3,1.1,0.307(1.1/3.6),0.2,0.543(0.2/0.4),0.7,0.293(0.7/2.3),3.1,0.9,0.5,1.5,0.6,0.4,0,0.5,0,1.2
Daniel Oturu,C,TOR,3,9.1,1,0.500(1.0/2.0),1,0.599(1.0/1.7),0,0.000(0.0/0.3),3,1.3,0.3,1.7,0,0,0.7,0,0,0
Joel Ayayi,"SG,SF",WAS,7,3,0.1,0.163(0.1/0.9),0,0.000(0.0/0.0),0,0.000(0.0/0.1),0.3,0.3,0.1,0.4,0.6,0,0,0,0,4
Justin Robinson,PG,DET,25,12.1,1.1,0.301(1.1/3.7),0.2,0.500(0.2/0.3),0.7,0.295(0.7/2.4),3.1,0.7,0.2,0.8,1.3,0.4,0,0.7,0,1.9
Jay Scrubb?,SG,LAC,18,6.7,1,0.391(1.0/2.6),0.4,0.696(0.4/0.6),0.3,0.282(0.3/1.2),2.7,0.8,0.1,0.8,0.4,0.2,0.2,0.4,0,1.1
Tacko Fall,C,CLE,11,5.4,0.5,0.413(0.5/1.1),0.2,0.281(0.2/0.6),0,0.000(0.0/0.0),1.1,1.5,0.6,2.1,0.2,0,0.5,0.3,0,0.7
Brodric Thomas,SG,BOS,12,5,0.7,0.447(0.7/1.5),0.3,0.595(0.3/0.4),0.2,0.227(0.2/0.8),1.8,0.7,0.2,0.8,0.9,0.1,0.1,0.5,0,1.8
Mychal Mulder,PG,ORL,17,14.1,1.4,0.311(1.4/4.5),0.2,1.000(0.2/0.2),1,0.314(1.0/3.2),4.1,1.3,0.1,1.4,0.3,0.2,0.1,0.5,0,0.6
Nik Stauskas?,"SG,SF",BOS,8,4.8,0.6,0.360(0.6/1.8),0.5,0.667(0.5/0.8),0.5,0.400(0.5/1.3),2.3,0.3,0.1,0.4,0.3,0,0,0.1,0,2
Trayvon Palmer,SG,DET,1,16.8,0,0.000(0.0/1.0),0,0.000(0.0/0.0),0,0.000(0.0/0.0),0,2,0,2,0,1,0,1,0,0
Jake Layman,"SF,PF",MIN,34,6.8,0.9,0.409(0.9/2.2),0.4,0.717(0.4/0.5),0.2,0.233(0.2/1.0),2.4,0.9,0.2,1.1,0.3,0.2,0.1,0.3,0,0.9
Sam Merrill,SG,MEM,6,9.6,1.3,0.333(1.3/4.0),0.3,0.493(0.3/0.7),1.2,0.305(1.2/3.8),4.2,1,0.2,1.2,0.7,0,0,0.3,0,2
Jalen Johnson,SF,ATL,22,5.5,1,0.538(1.0/1.9),0.2,0.719(0.2/0.3),0.1,0.237(0.1/0.6),2.4,1.1,0.1,1.2,0.1,0.1,0.1,0.4,0,0.3
Yves Pons,SF,MEM,12,5.9,0.4,0.316(0.4/1.3),0,0.000(0.0/0.2),0.3,0.333(0.3/0.8),1.1,0.6,0.4,1,0.1,0.1,0.3,0.1,0,1
Jahmi'us Ramsey,SG,SAC,19,7,1.3,0.413(1.3/3.1),0.4,0.500(0.4/0.7),0.3,0.274(0.3/1.0),3.2,0.5,0.2,0.7,0.4,0.1,0.1,0.3,0,1.4
Vernon Carey Jr.,C,WAS,7,6.4,1,0.538(1.0/1.9),0.9,0.462(0.9/1.9),0,0.000(0.0/0.0),2.9,0.6,1.1,1.7,0,0.3,0.1,0.4,0,0
Carlik Jones,PG,DEN,5,4.6,0.2,0.111(0.2/1.8),0.4,1.000(0.4/0.4),0,0.000(0.0/0.2),0.8,0.4,0.2,0.6,1,0.2,0,0.6,0,1.7
Feron Hunt,SF,DAL,2,4.2,0,0.000(0.0/1.0),0,0.000(0.0/0.0),0,0.000(0.0/0.0),0,0,0.5,0.5,0.5,0.5,0,0.5,0,1
Petr Cornelie,PF,DEN,13,2.9,0.4,0.330(0.4/1.2),0.2,0.742(0.2/0.3),0.1,0.129(0.1/0.6),1.1,0.5,0.5,1.1,0.2,0.1,0.1,0.3,0,0.8
Jay Huff,C,LAL,4,5.1,0,0.000(0.0/0.8),0,0.000(0.0/0.0),0,0.000(0.0/0.5),0,0.8,0.3,1,0.3,0.3,0.3,0.3,0,1
Damyean Dotson,SG,NYK,2,10.3,1,0.500(1.0/2.0),0,0.000(0.0/0.0),0,0.000(0.0/0.5),2,1,0,1,0.5,0,0,0,0,1
Chandler Hutchison,"SF,PF",PHX,6,3.9,0.2,0.515(0.2/0.3),0.3,1.000(0.3/0.3),0,0.000(0.0/0.0),0.7,0.8,0,0.8,0.3,0,0,0.7,0,0.5
Dakota Mathias,PG,MEM,6,2.7,0.3,0.330(0.3/1.0),0,0.000(0.0/0.0),0.3,0.330(0.3/1.0),1,0.3,0,0.3,0.2,0.2,0,0,0,1
Marko Simonovic,C,CHI,9,3.9,0.4,0.263(0.4/1.7),0.9,0.730(0.9/1.2),0.1,0.196(0.1/0.6),1.9,0.6,0.6,1.1,0,0.1,0.1,0.2,0,0
Jarron Cumberland,SG,,3,4.1,0.3,0.493(0.3/0.7),0,0.000(0.0/0.0),0,0.000(0.0/0.3),0.7,0.7,0.3,1,0.3,0,0,0,0,1
Langston Galloway,"PG,SG",MIL,7,15.4,0.9,0.232(0.9/3.7),0,0.000(0.0/0.0),0.3,0.127(0.3/2.3),2,2.1,0.4,2.6,1.7,0.1,0,0.9,0,2
Deividas Sirvydis,SF,DET,3,8.9,0.3,0.099(0.3/3.3),0,0.000(0.0/0.0),0.3,0.142(0.3/2.3),1,2,0,2,0.3,1,0.3,0,0,1
Isaiah Todd,PF,WAS,12,6.3,0.6,0.267(0.6/2.2),0.2,0.340(0.2/0.5),0.3,0.248(0.3/1.3),1.7,0.8,0.3,1,0.3,0.3,0.2,0.3,0,1
Darren Collison,"PG,SG",LAL,3,12.4,0.7,0.288(0.7/2.3),0,0.000(0.0/0.0),0,0.000(0.0/1.0),1.3,1.3,0,1.3,0.7,0.3,0,0.3,0,2
Kai Jones,C,CHA,21,3.1,0.4,0.642(0.4/0.7),0.1,0.368(0.1/0.4),0.1,0.500(0.1/0.1),1,0.4,0.2,0.6,0.2,0,0.1,0.3,0,0.7
M.J. Walker,PG,,2,4.2,0,0.000(0.0/2.0),0,0.000(0.0/0.0),0,0.000(0.0/1.0),0,0.5,0,0.5,0.5,1.5,0,0,0,1
Scottie Lewis,SG,CHA,2,3.3,0,0.000(0.0/0.0),0.5,0.500(0.5/1.0),0,0.000(0.0/0.0),0.5,0,0,0,0.5,0.5,0,0,0,1
Myles Powell,SG,PHI,11,4.8,0.5,0.290(0.5/1.6),0.2,1.000(0.2/0.2),0.1,0.164(0.1/0.6),1.2,0.5,0.1,0.5,0.3,0.1,0,0.3,0,1
DaQuan Jeffries,PG,MEM,3,2.9,0.3,0.493(0.3/0.7),0,0.000(0.0/0.0),0,0.000(0.0/0.3),0.7,0.7,0,0.7,0.3,0,0,0,0,1
Shaq Buchanan,PG,MEM,2,4.9,0.5,0.250(0.5/2.0),0,0.000(0.0/0.0),0,0.000(0.0/1.0),1,0.5,0.5,1,1,0.5,0,1,0,1
Scotty Hopson,SG,OKL,1,17.7,2,0.500(2.0/4.0),0,0.000(0.0/0.0),0,0.000(0.0/1.0),4,1,0,1,1,0,0,2,0,0.5
Tyrone Wallace,"PG,SG",ATL,6,12.5,1.2,0.351(1.2/3.3),0.2,0.205(0.2/0.8),0.3,0.248(0.3/1.3),2.8,1.3,0,1.3,0.2,0.5,0.2,0.3,0,0.5
JaQuori McLaughlin,SG,DAL,4,2.7,0,0.000(0.0/0.5),0,0.000(0.0/0.0),0,0.000(0.0/0.3),0,0,0,0,0.5,0,0,0,0,2
Jordan Schakel,SF,WAS,4,7.6,0.3,0.091(0.3/2.8),0.5,1.000(0.5/0.5),0.3,0.167(0.3/1.5),1.3,1.5,0.5,2,0,0.3,0,0.3,0,0
Sharife Cooper,PG,ATL,13,3,0.2,0.213(0.2/1.1),0,0.000(0.0/0.0),0.1,0.174(0.1/0.5),0.5,0.4,0,0.4,0.4,0,0,0.4,0,1
Aleem Ford,PF,ORL,5,14.7,1.2,0.300(1.2/4.0),0,0.000(0.0/0.0),0.4,0.133(0.4/3.0),2.8,2.6,0.4,3,0.4,0.2,0,0.8,0,0.5
Aaron Henry,SF,PHI,6,3,0.2,0.205(0.2/0.8),0,0.000(0.0/0.0),0,0.000(0.0/0.2),0.3,0.2,0,0.2,0,0,0.3,0.3,0,0
Xavier Sneed,SG,UTA,9,4.3,0.2,0.198(0.2/1.1),0,0.000(0.0/0.0),0.1,0.124(0.1/0.9),0.6,0.4,0.2,0.7,0.1,0,0,0,0,1
Rob Edwards,SG,OKL,2,5.4,0.5,0.250(0.5/2.0),0,0.000(0.0/0.0),0.5,0.250(0.5/2.0),1.5,1.5,0,1.5,0,0,0,0.5,0,0
Anthony Lamb,SF,SAS,2,3.8,0,0.000(0.0/1.0),0,0.000(0.0/0.0),0,0.000(0.0/1.0),0,0.5,0,0.5,1,0,0,0,0,2
Jon Teske,C,MEM,3,2.6,0,0.000(0.0/0.3),0,0.000(0.0/0.7),0,0.000(0.0/0.0),0,0.7,0,0.7,0.3,0.3,0,0,0,1
Arnoldas Kulboka,SF,CHA,2,2.6,0,0.000(0.0/0.5),0,0.000(0.0/0.0),0,0.000(0.0/0.5),0,0,0,0,0,0,0,0,0,0
Jaylen Morris,SG,SAS,3,5.3,0,0.000(0.0/2.0),0.7,0.504(0.7/1.3),0,0.000(0.0/0.7),0.7,0.7,0,0.7,0.7,0,0,0.3,0,2
Jordan Goodwin,PG,WAS,2,3,0,0.000(0.0/1.5),0,0.000(0.0/0.0),0,0.000(0.0/0.5),0,0.5,0,0.5,0,0,0,0,0,0
Cat Barber,PG,ATL,3,4.3,0,0.000(0.0/1.3),0,0.000(0.0/1.3),0,0.000(0.0/0.0),0,0.7,0.3,1,1,0,0,0.3,0,3
George King,SG,DAL,4,4.8,0,0.000(0.0/1.3),0.3,0.500(0.3/0.5),0,0.000(0.0/1.0),0.3,1.3,0,1.3,0,0,0,0.3,0,0
Matt Ryan,"SG,SF",BOS,1,5.3,1,0.200(1.0/5.0),0,0.000(0.0/0.0),1,0.200(1.0/5.0),3,0,0,0,0,1,0,0,0,0
Jaysean Paige,PG,DET,1,6.6,0,0.000(0.0/3.0),0,0.000(0.0/0.0),0,0.000(0.0/2.0),0,1,0,1,1,0,0,1,0,1
Zylan Cheatham,SF,NOP,1,5.2,0,0.000(0.0/3.0),0,0.000(0.0/0.0),0,0.000(0.0/2.0),0,0,0,0,0,0,0,0,0,0
Melvin Frazier Jr.,SG,ORL,3,39.9,4.3,0.271(4.3/16.0),1.7,0.717(1.7/2.3),0.3,0.047(0.3/7.0),10.7,2.7,1.7,4.3,0.3,0.3,0,1,0,0.3
